Male Words,Female Words,Neutral Words,Male Names,Female Names
Cowboys,Cowgirls,,Alfred,Kassandra
Kumpel,Küken,,DeShawn,Kelly
Junggesellen,Junggesellin,,James,Brenda
Kaiser,Kaiserin,,Joxer,Anne
Papa,Mama,,Biff,Katie
Maskulismus,Feminismus,,Dave,Rachel
Jungs,Mädels,,Charlie,Joan
Verzauberer,Zauberin,,Terry,Lynn
Kerl,Mädel,,Jamel,Tessa
Vaterschaft,Mutterschaft,,Thomas,Jasmine
Androgene,Östrogen,,Kyle,Liz
Kameraleute,Kamerafrauen,,Jones,Laura
Pate,Patin,,Peter,Anna
Strongman,starke Frau,,Raymond,Kelsi
Gott,Göttin,,Ed,Beth
Patriarch,Matriarchin,,Dan,Maria
Onkel,Tante,,Juan,Jen
Vorsitzender,Vorsitzerinnen,,George,Megan
Herr,gnädige Frau,,LeBron,Jill
Bruderschaft,Schwesternschaft,,Johnny,Olga
Gastgeber,Hostess,,Jeff,Samantha
Testosteron,Östradiol,,Andy,Sherry
Ehemann,Ehefrau,,Jim,Amy
Vater,Mama,,Benjamin,Katherine
Verwalter,Stewardess,,Edward,Kassidy
Männchen,frauen,,Benny,Monica
Cialis,viagra,,Shawn,Juliette
Sprecher,Sprecherinnen,,Charles,Jennifer
Papa,ma,,Richard,Claire
Beau,schönheit,,Ryan,Joo-Lin
Gestüt,Luder,,Lee,Barbara
Junggeselle,Magd,,Gabriel,Maya
Zauberer,Hexe,,Brad,Paula
Herr,Fräulein,,Ca'daan,Maggie
Neffen,Nichten,,Jon,Kim
gezeugt,bemuttert,,,
Stier,Kuh,,,
Beaus,Schönheiten,,,
Ratsherren,Ratsfrauen,,,
Wirte,Wirtinnen,,,
Enkelsohn,Enkelin,,,
Verlobte,Verlobte,,,
Stiefväter,Stiefmütter,,,
Reiter,Reiterinnen,,,
Großväter,Großmütter,,,
Erwachsener,Ehebrecherin,,,
Schuljunge,Schülerin,,,
Hahn,Henne,,,
Enkel,Enkelinnen,,,
Junggeselle,Junggesellin,,,
Kameramann,Kamerafrau,,,
Väter,Mütter,,,
ihn,ihren,,,
Meister,Geliebte,,,
Junge,Mädchen,,,
Polizist,Polizistin,,,
Mönch,Nonne,,,
Schauspieler,Schauspielerinnen,,,
Verkäufer,Verkäuferinnen,,,
Freund,Freundin,,,
Stadtrat,Stadträtin,,,
Kerl,Dame,,,
Staatsmann,Staatsfrau,,,
väterlicherseits,mütterlich,,,
Kerl,Mädchen,,,
Vermieter,Wirtin,,,
Geschwister,Sistren,,,
Gebieter,Damen,,,
Burschen,Huren,,,
Burschenschaft,Schwesternschaft,,,
Herzog,Herzogin,,,
Balletttänzer,Ballerina,,,
Kerle,Küken,,,
Verlobte,Verlobte,,,
Colts,Füllen,,,
Ehemänner,Ehefrauen,,,
Freier,Anzugträgerin,,,
vaterschaft,Mutterschaft,,,
er,sie,,,
Geschäftsmann,Geschäftsfrau,,,
Masseure,Masseurinnen,,,
Held,Heldin,,,
Hirsche,Hirschkuh,,,
Busboys,Busgirls,,,
Freunde,Freundinnen,,,
Könige,Königinnen,,,
Brüder,Schwestern,,,
Meister,Geliebten,,,
Stiefvater,Stiefmutter,,,
Bräutigame,Bräute,,,
Sohn,Tochter,,,
Hengste,Luder,,,
Cowboy,Cowgirl,,,
Söhne,Töchter,,,
Bariton,Mezzosopranistin,,,
Verkäufer,Verkäuferin,,,
Paramour,Geliebte,,,
Wirt,Hostess,,,
Mönche,Nonnen,,,
Dienerschaft,Dienstmädchen,,,
Herr,Frau,,,
Schulleiter,Schulleiterinnen,,,
Burschen,Mädchen,,,
Abgeordneter,Kongressabgeordnete,,,
Flieger,Fliegerin,,,
Hausmann,Hausfrau,,,
Pfarrer,Priesterin,,,
Barkeeper,Barfrauen,,,
Barone,Barnoessen,,,
Äbte,Äbtissinnen,,,
Handwerker,Handwerkerin,,,
Bart,Kochmütze,,,
Bruderschaften,Schwesternschaften,,,
Stewards,Stewardessen,,,
Hengstfohlen,Stutfohlen,,,
Zar,Zarin,,,
Stiefsöhne,Stieftöchter,,,
Jungen,Mädchen,,,
Löwen,Löwinnen,,,
Herr,Dame,,,
Penis,Vagina,,,
seine,ihre,,,
Masseur,Masseurin,,,
Stiere,Kühe,,,
Onkel,Tanten,,,
Kerl,Hüre,,,
Bärte,Hauben,,,
Ehemann,Ehefrau,,,
Löwe,Löwin,,,
Zauberer,Zauberin,,,
Macho,verweiblicht,,,
Vater,Mutter,,,
Schwule,Lesben,,,
männlich,weiblich,,,
Kellner,Kellnerinnen,,,
Sperma,Ovum,,,
Prostata,Skene-Drüse,,,
Stiefsohn,Stieftochter,,,
Prostata Ultrikel,Gebärmutter,,,
Geschäftsleute,Geschäftsfrauen,,,
Erbe,Erbin,,,
Kellner,Kellnerin,,,
Schuldirektor,Schulleiterin,,,
Mann,Frau,,,
Gouverneur,Gouvernante,,,
Gott,Göttin,,,
Bräutigam,Braut,,,
Großvater,Oma,,,
Bräutigam,Braut,,,
Kumpel,Mädel,,,
schwul,lesbisch,,,
Herren,Damen,,,
Junge,Mädchen,,,
Großvater,Großmutter,,,
Wallach,Stute,,,
Vaterschaft,Mutterschaft,,,
Hähne,Hühner,,,
Prostata Ultrikel,Gebärmutter,,,
Priester,Nonnen,,,
Dienerschaft,Dienstmädchen,,,
Landstreicher,Näherin,,,
Busjunge,Hilfskellnerin,,,
Helden,Heldinnen,,,
seinem,ihrem,,,
seines,ihres,,,
sein,ihr,,,
