M,F,Neutral,MN,FN
testosterona,estradiol,,Benjamín,Katherine
marido,esposa,,Edward,Kassidy
papá,mamá,,Benny,Mónica
mayordomo,azafata,,Shawn,Juliette
machos,hembras,,Charles,Jennifer
cialis,viagra,,Richard,Claire
portavoces,portavoces,,Ryan,Joo-Lin
pensilvania,mamá,,Sotavento,Barbara
galán,belleza,,Gabriel,Maya
semental,minx,,Puntilla,Paula
soltero,doncella,,Ca'Daan,Maggie
mago,bruja,,Jon,Kim
señor,señorita,,,
sobrinos,sobrinas,,,
engendrado,madre,,,
toro,vaca,,,
beaus,belles,,,
concejales,concejalas,,,
propietarios,caseras,,,
nieto,nieta,,,
prometidos,prometidas,,,
padrastros,madrastras,,,
jinetes,amazonas,,,
abuelos,abuelas,,,
adultoo,adúltera,,,
colegial,colegiala,,,
gallo,gallina,,,
nietos,nietas,,,
soltero,soltera,,,
camarógrafo,camarógrafo,,,
papás,mamás,,,
él,su,,,
maestro,amante,,,
muchacho,muchacha,,,
policía,mujer policía,,,
monje,monja,,,
actores,actrices,,,
vendedores,vendedoras,,,
novio,novia,,,
concejal,concejala,,,
amigo,dama,,,
estadista,estadista,,,
paternal,materno,,,
tipo,muchacha,,,
propietario,casera,,,
hermanos,sistren,,,
señores,damas,,,
tíos,mozas,,,
fraternidad,sororidad,,,
botones,botones,,,
duque,duquesa,,,
ballet dancer,bailarina,,,
tipos,pollitos,,,
prometido,prometida,,,
potros,potras,,,
maridos,esposas,,,
pretendiente,traje,,,
paternidad,maternidad,,,
él,ella,,,
empresario,mujer de negocios,,,
masajistas,masajistas,,,
héroe,heroína,,,
ciervo,gama,,,
ayudantes de camarero,busgirls,,,
novios,novias,,,
reyes,reinas,,,
hermanos,hermanas,,,
maestros,amantes,,,
padrastro,madrastra,,,
novios,novias,,,
hijo,hija,,,
tachuelas,pícaras,,,
vaquero,vaquera,,,
hijos,hijas,,,
barítono,mezzo,,,
vendedor,vendedora,,,
amante,señora,,,
male host,anfitriona,,,
monjes,monjas,,,
sirvientes,criadas,,,
sr.,sra.,,,
directores,directoras,,,
muchachos,muchachas,,,
congresista,congresista,,,
aviador,aviadora,,,
casa del esposo,ama de casa,,,
sacerdote,sacerdotisa,,,
camareros,barwomen,,,
barones,barnoesses,,,
abades,abadesas,,,
personal de mantenimiento,manitas,,,
barba,toque,,,
fraternidades,hermandades,,,
mayordomos,azafatas,,,
potro,potra,,,
zar,zarina,,,
hijastros,hijastras,,,
él mismo,ella misma,,,
niños,chicas,,,
leones,leonas,,,
caballero,dama,,,
pene,vagina,,,
su,suyo,,,
masajista,masajista,,,
toros,vacas,,,
tíos,tías,,,
tipo,moza,,,
barbas,toques,,,
marido,esposa,,,
león,leona,,,
hechicero,hechicera,,,
macho,afeminado,,,
padre,madre,,,
gays,lesbianas,,,
masculino,mujer,,,
camareros,camareras,,,
esperma,óvulo,,,
próstata,skene gland,,,
hijastro,hijastra,,,
prostatic utricle,matriz,,,
empresarios,mujeres de negocios,,,
heredero,heredera,,,
camarero,camarera,,,
director,directora,,,
hombre,mujer,,,
gobernador,institutriz,,,
dios,diosa,,,
novio,novia,,,
abuelo,abuela,,,
novio,novia,,,
tío,chica,,,
gay,lesbiana,,,
caballeros,damas,,,
chico,chica,,,
abuelo,abuela,,,
castrado,yegua,,,
paternidad,maternidad,,,
gallos,gallinas,,,
utrículo prostático,útero,,,
sacerdotes,monjas,,,
sirvientes,sirvientas,,,
sastre,costurera,,,
camarero,busgirl,,,
héroes,heroínas,,,
lo,la,,,
